Time	Location	Title	Teams
10:00	Field A	Game 1	Viet-Chicago vs. Team 4
10:00	Field B	Game 2	Team 2 vs. Team 3
11:40	Field A	Game 3	Viet-Chicago vs. Team 3
11:40	Field B	Game 4	Team 4 vs. Legends
13:20	Field A	Game 5	Team 3 vs. Legends
13:20	Field B	Game 6	Viet-Chicago vs. Team 2
15:00	Field A	Game 7	Team 2 vs. Legends
15:00	Field B	Game 8	Team 3 vs. Team 4
16:40	Field A	Game 9	Team 2 vs. Team 4
16:40	Field B	Game 10	Viet-Chicago vs. Legends
