Year	Rating	Conference	Title	Author Names
1991	8.6	Drama	"101-kai me no puropozu"	Eguchi, Y�suke;Hasegawa, Hatsunori;Kosaka, Kazuya;Maeda, Shinnosuke;Satoi, Kenta;Takeda, Tetsuya;Takeuchi, Riki;Yamazaki, Mitsuru
2013	8.9	Comedy	"14.000.000.000$!!!"	Gavros, Spyros o;Hulk, George;Meramveliotakis, Tony;Mustang, Jimm;Papakonstadinou, Vasilis;Plako-Georges;Skoutelis, Nikolaos;Skoutelis, Rafael;Stamatis, Centipede;Thimo, Leonard
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2008	8.9	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2012	9.0	Comedy	"4Funnies"	Burgers, Phil;Cardinal, Seb;Chambers, Dave (IV);Earl, David (VI);Evans, Roger (II);Hayward, Chris (III);Li, Dan (II);McCarthy, Matthew David;McGlynn, Bob;Quinn, Bryan (IV)
2000	8.8	Comedy	"7 Numara"	Alkan, Engin;Ert�rkler, Taner;Girgin, Volkan;Karkin, Engin;Sara�oglu, Ahmet;Sari, Ruhi;Selvi, Okan;Senol, Askin;Simsek, Olgun;Tunali, Cenk;�oban, Ali;�orumlu, �aglar
2011	9.0	Comedy	"80's Dan"	Foiles, Jerrid;Gobble, David;Jones, Brad (VII);Lewis, Brian (XIV);Mitchelle, Ryan;Norvell, Jake;Roth, Steve (VII);Walker, Rob (XIX)
2009	8.7	Comedy	"=3"	Chandler, Christian Weston;Iglesias, Gabriel (IV);Johnson, Ray William;Lee, Bobby (I);Miller, T.J.;Williams, Robin (I)
2012	8.8	Comedy	"@TheBar"	Brilhart, Sam;Capps, Merrill
2013	8.9	Comedy	"A Crazy Leo Show"	Brando, Marlon;Einstein, Albert;Thimo, Leonard
2010	8.8	Drama	"A Drop of True Blood"	Bauer, Chris (I);Brooks, Mehcad;Ellis, Nelsan;Fuller, Leon 'Lee';Hillard, John;Kwanten, Ryan;Moyer, Stephen;Parrack, Jim;Raymond-James, Michael;Skarsg�rd, Alexander;Trammell, Sam
2012	8.6	Comedy	"A Gentleman's Dignity"	Jang, Dong-gun;Kim, Min-jong;Kim, Su-ro;Kim, Woo-bin;Lee, Jong-hyeok (I);Lee, Jong-Hyun;Min, Jae-Sik;Ro, Kim Soo
2002	8.8	Comedy	"A Guy and a Girl"	Brown, Geordie (I);Clarke, Jeff (I);Cournoyer, Rejean;Owen, Mark A. (I)
1990	8.9	Comedy	"A Life in Pieces"	Cook, Peter (I);Kennedy, Ludovic
1994	8.8	Family	"A*mazing"	Carter, A.J. (I);Sherry, James (I)
1985	8.7	Drama	"Aai Shob Din Ratri"	Ahmed, Bulbul;Ali Khan, Masud;Haque, Enamul;Haque, Kazi Mehfuzul;Khan, Khaled;Noor, Asaduzzaman
2012	8.7	Comedy	"Acting for Action with Sung Kang"	Alvarez, Antonio (IV);Kang, Sung
2001	8.6	Comedy	"Adam & Joe's American Animation Adventure"	Buxton, Adam;Cornish, Joe
2013	8.7	Comedy	"Adult Wednesday"	Cope, Hunter (I);Dax, Tim;Gage, Brad;Kennedy, Kiel;Schwartz, Eliot;Tauscher, Clint;Thompson, Nick (XXXII);Turton, Bob;Wagner, Andy (III);Wilson, Toby (II)
1967	8.8	Family	"Adventure Island"	Bourne, Ernie;Cooper, Burt;Crossley, Brian;Howson, John Michael;Manuel, Jack;McEwan, Colin (I);Smilie, James;Teale, Leonard
2010	8.6	Comedy	"After Hours"	Barrs, Matt;Bowie, Soren;Clark, Anthony (XIV);Johnston, Cody;O'Brien, Daniel (XIV);Rowntree, Winston;Swaim, Michael
2009	8.7	Comedy	"Agents of Cracked"	Bowie, Soren;Katzeff, Oren;O'Brien, Daniel (XIV);Ricketts, Ryan;Seaton, Dylan John;Sullivan, Billy G.;Swaim, Michael
2012	8.9	Comedy	"Airport Douchery"	Branch Jr., Elliott;Darson, Navaris;Droege, Drew;Gonzalez, Al (XI);Jones, Devon Michael;Kwan, Roger;Medina, Christian (V);Smith, DuRell;Steve, Dirty;Toohey, Sean Francis;Yanke, Chris
2000	8.8	Drama	"Al-Zeer Salem"	Haddad, Salloum;Taja, Khaled
2014	8.6	Action	"Aldnoah.Zero"	Aguilar, Zach;Chalmers, Geoffrey;Diskin, Ben;Dodge, Lucien;Haberkorn, Todd;Lang, Lex;Lee, Alan (XXVIII);McCarley, Kyle;Mercer, Matthew (I);Mittelman, Max;Papenbrook, Bryce;Seitz, Patrick (I);Thong, Bobby;Thornton, Kirk;Weisz, Ezra (III)
2008	8.8	Drama	"Alice"	Cazarr�, Juliano;Descartes, Marat (I);Gudiel, Daneri;Ketnath, Peter;Massuia, Felipe;Moscovis, Eduardo;Zinn, Vinicius
2010	9.6	Comedy	"Aliens Inside"	Bartocci, Giacomo R.;Belletti, Lorenzo;D'Aponte, Riccardo;Esteve C�rdoba, Laia;Giordano, Gennaro;Lo Coco, Andrea;Lupo, Serena;Sciarretta, Daniele;Tamburini, Riccardo;Todria, George (I);Visotto, Nicola;Volpe, Giorgio
1965	8.6	Drama	"Alle machen Musik"	Dietl, Harald;Kaden, Rolf;Nowka, Michael;Poremski, Erich;Schoenhals, Albrecht;Weichberger, Michael;Wilcke, Claus;Wildbolz, Klaus
2014	8.6	Comedy	"Almost Asian"	Akizawa, Keisuke;Faiola, Mike;Finney, Brian T.;Lee, Gordon G.;Masaki, Hitoshi;Mizobe, Cary Y.;Porter, Steven M.;Quach, James;Sanz, Horatio;Smith, Johnny (XI);Sun Lee, Michael;Young, Harry Du
2008	8.7	Comedy	"American Focus"	Gregory, Jacob;Valiyakallumkal, Josekutty;Vorob, Greg
2003	8.7	Comedy	"Anders och M�ns"	Johansson, Anders (VI);Nilsson, M�ns (IV)
2003	8.6	Drama	"Ang iibigin ay ikaw pa rin"	Daluz, Cris;De Leon, Christopher (I);del Rosario, Chubi;Eigenmann, A.J.;Gil, Mark (I);Gomez, Richard (I);Goyena, Armando;Ravales, Polo
1994	8.6	Comedy	"Apres Match"	Cooke, Gary (I);Cooper, Risteard;Murphy, Barry (I)
2008	8.9	Comedy	"Arestat la domiciliu"	Cambir, Costin;Spahiu, Gabriel (I);Toma, Cristian (I)
2011	9.7	Family	"Arise & Shine"	Baumann, Charles;Beckler, Thomas;Billadeau, Daryl;Brown, Aaron (XXXIII);Brown, Dave (XLIX);Cuellar, Elesio (I);Cuellar, Elesio (II);Mash, Lewis Marklin;Sides, Clarence;Tobey, Kevin (I);Tobey, Kevin (II);Vanderbrook, Ryan;Webber, Isaiah;Webber, Nathan (I);Winslow, Corey
2007	9.0	Comedy	"As the Bell Rings"	Butterwick, Cameron Brian;Cole, Collin;Edwards, Brady;Geek Squad;Ginsberg, Seth;Kavanagh, Brad;Krause, Nick (I);Oller, Tony;Rems, Kyle;Scott, Spencer (I);Vaughn, RJ
2010	8.7	Comedy	"Ashen's Tech Dump"	Ashen, Stuart;Ball, Rich (II);Partridge, Harry;Talbot, Mark (I);Talbot, Mark (II);Tomlinson, Dan (II)
2014	8.8	Drama	"Ashita, mama ga inai"	Fujimoto, Kanata;Hasegawa, Tomoharu;Igarashi, Hinata;Isawa, Takayuki;It�, Meiken;Matsubayashi, Shinji;Matsumoto, Tench�;Mikami, Hiroshi;Miura, Sh�hei;Nishimura, Kazuhiko (I);Sakamoto, Mitsuki;Shirota, Y�;Sugita, Kippei;Tanaka, Kanau;Yoshino, Yasuomi
2007	9.1	Drama	"Asi"	Arslan, Kanbolat Gorkem;Bal, Kenan;Bozguney, Ibrahim;El�iboga, Emrah;Evren, Remzi;Hekimoglu, Salahsun;H�nal, Cemal;Kurtiz, Tuncel;Samancilar, Menderes;Saylak, Onur;Soysal, Saygin;Tekindor, �etin;Yildirim, Murat;�amur, Murat;�obanoglu, Necmettin
2005	8.7	Comedy	"Ask a Ninja"	Bresler, Doug;Sarine, Douglas
2008	8.9	Drama	"Ask-i Memnu"	Akbulut, Baran;Aktug, Recep;Anthony, McKinley;Cabbar, Rana;Cihan, Alay;Karacakaya, Batuhan;Kizmaz, Ilker;Oraloglu, Bur�in;Tatlitug, Kivan�;Y�ntem, Sel�uk;�zata, Adem Yavuz
1996	8.6	Comedy	"Asylum"	Bailey, Bill (I);Barratt, Julian;Bloom, Adam (I);David Devant and his Spirit Wife;Haigh, Howard;Lovett, Norman;Moloney, John (I);Morocco, Paul;Naylor, Henry;O'Connor, Michael (XVI);O'Connor, Mick;Parsons, Andy (I);Pegg, Simon;Tonkinson, Paul;Walliams, David
2005	8.6	Drama	"Atakku no. 1"	Aoyagi, Buntar�;Fukae, Takuji;Funakoshi, Eiichir�;Ishizuka, Yoshiyuki (I);Jimbo, Satoshi;Kikuchi, Kin'ya;Matsuo, Toshinobu;Morimoto, Ry�ji;Mukai, Seiichi;Nakamura, Shunsuke (I);Nakatsukasa, Kazutomo;Odera, Daisuke;Ry�, Raita;Shimizu, Sh�go
2012	8.9	Action	"Attack of the Pig-Zombies!"	Achilli, Michele;Covini, Ettore;Dezza, Pierluigi;Di Buono, Andrea;Pigozzi, Marco;Riccardi, Manuele;Russo, Riccardo (IV);Uberti, Mattia;Ventre, Giacomo
2012	8.9	Comedy	"Away We Happened"	Dinh, Chris;Kim, Victor;Lee, Ki Hong
2008	8.6	Comedy	"B. Boppin'"	Fischer, Kelsey;Gamble, Mike (III);Geckeler, Ian;Renard, Jack (I);Shakoour, Nick;Thao, Alexia;Thomas, Leilani
2012	8.6	Comedy	"BAMF Girls Club"	Marie, Beau (I);Murden, Alastair James;Navarro, Luis M.
2015	8.6	Action	"Bameul Geotneun Seonbi"	Lee, Jun-ki;Lee, Soo-hyuk;Min, Sim Chang
2004	9.1	Comedy	"Bananas Family Comedy"	Davis, Ken (VIII);Hahn, Greg (IV);Joiner, Michael (I);Nelson, Bob (II);Pearson, Ron (I);Ramsey, Thor;Travalena, Fred
1997	8.6	Comedy	"Barry Welsh Is Coming"	Edwards, Gareth (II);MacBean, Andrew;Marks, Howard (I);Sparkes, John (I);Wall, Kim (II)
1992	9.2	Comedy	"Beakman's World"	Barzman, Alan;Berdis, Bert;King, Evan (I);Ritts, Mark (I);Zaloom, Paul
1996	8.8	Action	"Beast Wars: Transformers"	Brown, Don (V);Byrnes, Jim (I);Chalk, Garry;Corlett, Ian James;Jackson, Andrew (II);Kaye, David (I);Lane, Campbell;Mankuma, Blu;McNeil, Scott (I);Murdock, Colin;Newman, Richard (I);Parker, Doug (I);Sobolov, David;Tockar, Lee;Willows, Alec
2013	8.8	Drama	"Before the Dark"	Dockter, Michael;Kross, Kevin;Merritt, Nate;Nova, Scott;Sandford, Corum;Wagoner, Travis;Wells, John (XVIII)
2001	8.6	Drama	"Bes Dakikalik Bir Mesele"	Bilgin, Metin;Ergun, Koray;Fenn, Can George;Ipek, Mahir;Simsek, Sinan
2001	8.7	Drama	"Bes Dakikalik Bir Mesele"	Bilgin, Metin;Ergun, Koray;Fenn, Can George;Ipek, Mahir;Simsek, Sinan
2013	9.1	Comedy	"Best of the Worst"	Bauman, Jay;Cunningham, Colin (IV);Davis, Josh (XXVIII);Evans, Rich (I);Kabasinski, Len;Maxwell, Jim (I);Packard, Jack;Stoklasa, Mike;Williams II, Freddie E.
1983	8.9	Family	"Bettkantengeschichten"	Bredel, David;Glatzeder, Philipp;Hallwachs, Hans Peter;Hodin, Thomas;Mahlich, Holger;Schmidt-Fo�, Gerrit
2013	8.6	Comedy	"Beverly Hills Canine Country Club"	Abreu, Kory (I);Dale, Alex (II);Henderson, Randy S;Korsak, Josef;Rocky (XXXV);Topp, David (I);Ullah, Nico;Wiseman, Bryan
2012	8.7	Comedy	"Big City"	Carney, Zane;Devine, Mat;Golden, Norm
1979	8.6	Comedy	"Big Jim and the Figaro Club"	Atkins, Dave (I);Beckett, David (I);Clapham, Peter;Curram, Roland;Hoskins, Bob (I);John, David (IV);Lee-Wilson, Pete;McCoy, Sylvester;Murray, Patrick (I);Peck, Brian (II);Pemberton, Charles;Robinson, Tony (I);Rollings, Gordon;Rossington, Norman;Stringer, Nick (I)
