Year	Rating	Conference	Title	Author Names
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2008	9.6	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2011	9.2	Drama	"Adini Feriha Koydum"	Akg�n, Yusuf;Aky�z, Harun;Altunkaya, Ufuk Tan;Andic, Furkan;Bilmaz, Cihan;Bozkurt, �inar;Carda, �zhan;Kaya, Onay;Kilic, Baris (I);Ko�, Emre;Okan, Cihan;Onuk, Murat;Selcuk, Melih;Tepe, Hakan;Ulusoy, �agatay;�ekmez, Metin;�zbay, Eray;�zcan, G�k�er;�zdemir, Doruk
2013	9.2	Comedy	"Adult Wednesday"	Cope, Hunter (I);Dax, Tim;Gage, Brad;Kennedy, Kiel;Schwartz, Eliot;Tauscher, Clint;Thompson, Nick (XXXII);Turton, Bob;Wagner, Andy (III);Wilson, Toby (II)
2010	9.6	Comedy	"Aliens Inside"	Bartocci, Giacomo R.;Belletti, Lorenzo;D'Aponte, Riccardo;Esteve C�rdoba, Laia;Giordano, Gennaro;Lo Coco, Andrea;Lupo, Serena;Sciarretta, Daniele;Tamburini, Riccardo;Todria, George (I);Visotto, Nicola;Volpe, Giorgio
2011	9.7	Family	"Arise & Shine"	Baumann, Charles;Beckler, Thomas;Billadeau, Daryl;Brown, Aaron (XXXIII);Brown, Dave (XLIX);Cuellar, Elesio (I);Cuellar, Elesio (II);Mash, Lewis Marklin;Sides, Clarence;Tobey, Kevin (I);Tobey, Kevin (II);Vanderbrook, Ryan;Webber, Isaiah;Webber, Nathan (I);Winslow, Corey
2007	9.1	Drama	"Asi"	Arslan, Kanbolat Gorkem;Bal, Kenan;Bozguney, Ibrahim;El�iboga, Emrah;Evren, Remzi;Hekimoglu, Salahsun;H�nal, Cemal;Kurtiz, Tuncel;Samancilar, Menderes;Saylak, Onur;Soysal, Saygin;Tekindor, �etin;Yildirim, Murat;�amur, Murat;�obanoglu, Necmettin
2004	9.1	Comedy	"Bananas Family Comedy"	Davis, Ken (VIII);Hahn, Greg (IV);Joiner, Michael (I);Nelson, Bob (II);Pearson, Ron (I);Ramsey, Thor;Travalena, Fred
2012	9.1	Comedy	"Battleground"	Backstrand, Marty;Caruso, Frank G.;Collins III, Hayward;Corboy, Matt;De Sena, Jack;Glass, Bill (I);Glidden, Rob;Hayden, Jay (I);Hewson, Charlie;Johnston, Tommy Lee;Kishline, John;Lowe, Nathan (II);Maxwell, Jordan T.;Potts, Brad;Roth, F. David;Samuel, Ben (III);Samuelson, Roy;Sather, Louis;Torres, Francisco C.
1992	9.2	Comedy	"Beakman's World"	Barzman, Alan;Berdis, Bert;King, Evan (I);Ritts, Mark (I);Zaloom, Paul
2013	9.1	Comedy	"Best of the Worst"	Bauman, Jay;Cunningham, Colin (IV);Davis, Josh (XXVIII);Evans, Rich (I);Kabasinski, Len;Maxwell, Jim (I);Packard, Jack;Stoklasa, Mike;Williams II, Freddie E.
1983	9.2	Family	"Bettkantengeschichten"	Bredel, David;Glatzeder, Philipp;Hallwachs, Hans Peter;Hodin, Thomas;Mahlich, Holger;Schmidt-Fo�, Gerrit
2015	9.2	Comedy	"Billy & Billie"	Brody, Adam (I);Burke, Phil (II);Coffey, Chris Henry;Gore, Jack (II);Lacy, Jake;Slezak, Victor;Weller, Frederick
1989	9.4	Comedy	"Blackadder Goes Forth"	Atkinson, Rowan;Blick, Hugo;Cornes, Lee;Edmondson, Adrian;Elliott, Paul Mark;Frost, Stephen (I);Fry, Stephen (I);Gittins, Jeremy;Hardy, Jeremy (I);Laurie, Hugh;Mayall, Rik;McInnerny, Tim;Palmer, Geoffrey (I);Robinson, Tony (I);Wallis, Bill
2009	9.1	Comedy	"Board James"	Alexander, Derek (II);Castner, Brendan;Dangerfield, Rodney;Finn, Kevin (IV);Hatfield, Jay;Hudson, Billy (II);Locascio, A.J.;Matei, Mike;Price, Vincent (I);Rolfe, James (IV);Vargas, Joe (II)
1993	9.1	Drama	"Body & Soul"	Allen, Patrick (I);Bowe, John (I);Bryson, Geoff;Carlisle, John (II);Cox, Francis (I);Delves-Broughton, Roger;Gallagher, Don (II);Ghir, Kulvinder;Hinitt, Ben;Knutt, Bobby;Krupinski, Renny;Lambert, John (II);Lund, Marcus;Mavers, Gary;Milne, Gareth (I);Rigby, Graham;Smith, Joshua (III);Valentine, Anthony (I)
2002	9.5	Comedy	"Bram and Alice"	Bart, Roger;Boltin, Rob;Brochu, Jim;Campo, Wally;Costanzo, Robert;Elwell, Timothy;Gage, Edward James;Hallick, Tom;Kirkpatrick, Kevin (I);Marsden, Jason (I);Molina, Alfred;Montfort, Steven;Rispoli, Michael;Trucco, Michael
2012	9.7	Comedy	"Buffering"	Barnes, Dominic (I);Carroll, Eric (III);Chinnici, Michael;Conroy, Patrick-Joseph;Edmondson, Chase;Gibson, Simon (IV);Lynch, Riker;Makin Jr., Titus;Mast, Chris (I);Mega, Curt;Moses, Joe;Zimmer, Matt (I)
2004	9.3	Comedy	"Bully & Rick"	Cage, Nicolas;Engl, Oliver;Gandhi, Mohandas K.;Herbig, Michael;Jackson, Michael (I);Jones, Randy (II);Kahn, Oliver;Kavanian, Rick;Martin, Steve (I);Morrison, Jim (I);Nicholson, Jack (I);Schreiner, Jumbo;Tramitz, Christian;Village People, The
1997	9.6	Comedy	"Bullyparade"	Herbig, Michael;Kavanian, Rick;Pastewka, Bastian;Pigott, Michael;Raab, Stefan;Schreiner, Jumbo;Tramitz, Christian
2008	9.2	Comedy	"Bum Reviews"	Antwiler, Noah;Fishel, Joe;Freeman, Nikolas;Lovhaug, Lewis;Schiciano, Michael (I);Walker, Doug (VI);Walker, Rob (XIX)
2015	9.3	Comedy	"Bunk'd"	Arenas, Nathan;Brar, Karan;Frank (XLVII);Quinn, Kevin G.
2013	9.2	Comedy	"Byeoreseo on Geudae"	Ahn, Jae-Hyeon;Eom, Hyo-Seob;Jo, Hie-bong;Kim, Chang-wan;Kim, Soo Hyun (I);Lee, Jeong-kil;Min, Choe;Park, Hae-Jin;Sin, Seong-rok
2015	9.2	Comedy	"Cam Girls"	Cantrell, Ava (I);Hewson, Charlie;Starzyk, David
2014	9.3	Comedy	"Carmilla"	Chartrand, Aaron;Clark, Ian D.;Kook, Shannon;O'Connor, Matt (XVIII)
2006	9.1	Family	"Come on Over"	Arocha, Marcel;Avalos, Luis (I);Bickersteth, Bertrand;Carigon, Steve;Childress, Susannah;Duford, Chip;Dykema, Chad;Jbara, Gregory;Kaffka, Michael;Mangum, Jonathan;Mason, Steve (XI);Rogers, Greg (IX);Snyder, Dana (II);Stella, Fred;Tanis, Joel Schoon;Willard, Fred;Ziegler, Michael (I)
2013	9.2	Comedy	"Comedy Nights with Kapil"	Asgar, Ali;Ganatra, Paresh;Grover, Sunil;Khan, Salman (I);Malviya, Bholaram;Nigam, Rajeev;Parchure, Atul;Prabhakar, Chandan;Sagar, Ali;Sharda, Kiku;Sharma, Kapil (VIII);Shrivastav, Raju;Sidhu, Navjot Singh;Singh, Ranveer (II);Vicky, Naseem;Warsi, Arshad
1996	9.3	Comedy	"Common Law"	Barry, Thom;Benson, Greg (I);Cole, Jasper;DeKay, Tim;DiMaggio, John;Fancy, Richard;Gilborn, Steven;Giraldo, Greg;Glouberman, Bob;Hartsock, Charlie;Jacott, Carlos;McCarthy, Francis X.;Pasquesi, David;Rubin, Murray;Sierra, Gregory
2005	9.1	Comedy	"Con"	Johnson, Zach (III);Keyes, Dave;Maccarone, Michael;Morganella, Joe;Panella, Michael Anthony;Rhyder, Daniel;Stone, Skyler
1992	9.2	Action	"Conan: The Adventurer"	Beattie, Michael (I);Byrnes, Jim (I);Chalk, Garry;Donovan, Michael (III);Mankuma, Blu;McNeil, Scott (I);Newman, Richard (I);Parker, Doug (I);Stone, Doug (I);Tockar, Lee;Willows, Alec
