Year	Rating	Conference	Title	Author Names
2007	9.2	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2013	9.1	Action	"24"	Bakshi, Gaurav;Bhatt, Adhir;Bhattacharya, Dibyendu;Bhoopalam, Neil;Chanana, Raaghav;Deo, Ajinkya;Gadekar, Jayant;Jeetendra (I);Jora, Priyanshu;Kadam, Kishore;Kanwarpal, Bikramjeet;Kapoor, Anil (IV);Kapoor, Rishi (I);Kaul, Rajat;Khan, Nissar;Khanna, Adish;Khanna, Rahul (I);Kher, Anupam;Pradhan, Shahnawaz;Saini, Gurpreet;Siddhartha, Rajeev;Singh, Rahul (I);Srinivas, Kiran (I);Subramaniam, Shivkumar;Suri, Yuri;Ved, Sundip;Vikal, Ankur
2008	9.6	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2013	9.1	Drama	"7 Lives Xposed"	Brackett, David;Bryant, Colin (I);Campangna, Robert;David, Mike;Davis, Mike (XXI);Duncan, Steve (IX);Eftimoski, Jason;Gunther, Bill (III);Hansen, Danny (I);Kasper, Kent;Ketcham, Tony;La Touche, Richard;Lezama, Javier;Long, Andrew Espinoza;Printers, Casey;Ramirez, Wilson;Roberts, Ian (XXIII);Scott, J. (VII);Shaffrey, Mike;Sinclair, Kurt;Sowers, Christopher;Stennette, Gary Anthony (I);Tucker, Dan (IV);Ursino, Phil;Wilson, Jesse (V)
2011	9.2	Drama	"Adini Feriha Koydum"	Akg�n, Yusuf;Aky�z, Harun;Altunkaya, Ufuk Tan;Andic, Furkan;Bilmaz, Cihan;Bozkurt, �inar;Carda, �zhan;Kaya, Onay;Kilic, Baris (I);Ko�, Emre;Okan, Cihan;Onuk, Murat;Selcuk, Melih;Tepe, Hakan;Ulusoy, �agatay;�ekmez, Metin;�zbay, Eray;�zcan, G�k�er;�zdemir, Doruk
2013	9.2	Comedy	"Adult Wednesday"	Cope, Hunter (I);Dax, Tim;Gage, Brad;Kennedy, Kiel;Schwartz, Eliot;Tauscher, Clint;Thompson, Nick (XXXII);Turton, Bob;Wagner, Andy (III);Wilson, Toby (II)
2010	9.6	Comedy	"Aliens Inside"	Bartocci, Giacomo R.;Belletti, Lorenzo;D'Aponte, Riccardo;Esteve C�rdoba, Laia;Giordano, Gennaro;Lo Coco, Andrea;Lupo, Serena;Sciarretta, Daniele;Tamburini, Riccardo;Todria, George (I);Visotto, Nicola;Volpe, Giorgio
1993	9.5	Comedy	"Almost Home"	Affleck, Ben;Aulisio, Curnal Achilles;Birney, Frank;Brown, Elliott J.;Calvert, James (I);Costanzo, Robert;Federman, Wayne;Gleason, James (II);Gummersall, Devon;Kenner, Jacob;King, Perry (I);Lambert, Jay (I);Lawrence, Joseph (II);Leto, Jared;Logue, Donal;Marsden, Jason (I);Michaely, Joel;Norris, Lee (I);Panebianco, Richard;Rich, Christopher;Shera, Mark;Van Norden, Peter;Ventresca, Vincent;Whitehead, Paxton
1997	9.3	Comedy	"Apt. 2F"	Besser, Matt;Bush, John Thrall;Colbert, Stephen;Eigen, Jeff;Euton, Gary;Florentine, Jim;Galifianakis, Zach;Hammond, Darrell;Lennon, Thomas (III);Moody, Karl;Nelson, John O.;O'Neal, Patrice;Price, Matt (I);Roberts, Ian (II);Robinson, Keith (IV);Showalter, Michael (I);Sklar, Jason (I);Sklar, Randy (I);Wain, David;Walsh, Matt (I);Weinstein, Joshua (I)
2011	9.7	Family	"Arise & Shine"	Baumann, Charles;Beckler, Thomas;Billadeau, Daryl;Brown, Aaron (XXXIII);Brown, Dave (XLIX);Cuellar, Elesio (I);Cuellar, Elesio (II);Mash, Lewis Marklin;Sides, Clarence;Tobey, Kevin (I);Tobey, Kevin (II);Vanderbrook, Ryan;Webber, Isaiah;Webber, Nathan (I);Winslow, Corey
2007	9.1	Drama	"Asi"	Arslan, Kanbolat Gorkem;Bal, Kenan;Bozguney, Ibrahim;El�iboga, Emrah;Evren, Remzi;Hekimoglu, Salahsun;H�nal, Cemal;Kurtiz, Tuncel;Samancilar, Menderes;Saylak, Onur;Soysal, Saygin;Tekindor, �etin;Yildirim, Murat;�amur, Murat;�obanoglu, Necmettin
2013	9.5	Comedy	"BK Comedy Series"	Cooper, Emrhys;De La Mota, Orel;Devereux, Patrick;DuChesne, Derek;Edwards, Brandon (IV);Hansen, Stephen (I);Hawkes, Will (I);Infante, Marco;Jaine, Nick;Jones, Shane Warren;King, Michael (XII);Lansang, Francis;Leigh, Morgan (I);McEuen, Chris;Morrison, Ben (I);Parra, Marco;Prescott, Jon (I);Sanz-Katz, Aton;Seeley, Drew;Torres, Jeff;Wayne, Randy (I)
2004	9.1	Comedy	"Bananas Family Comedy"	Davis, Ken (VIII);Hahn, Greg (IV);Joiner, Michael (I);Nelson, Bob (II);Pearson, Ron (I);Ramsey, Thor;Travalena, Fred
