Year	Rating	Conference	Title	Author Names
1961	9.2	Drama	"'Way Out"	Balsam, Martin;Brooks, Martin E.;Broun, Heywood Hale;Cameron, Jean;Cimino, Leonardo;Conrad, Michael (I);Coolidge, Philip;Dahl, Roald;Daly, Frank;Dawson, Anthony (I);Elcar, Dana;Everhart, Rex;Finnerty, Warren;Fitzgerald, Neil (I);Fowkes, Conard;Garrison, Sean (I);Gibson, John (I);Hamilton, John F.;Hamilton, Murray (I);Hughes, Barnard;Huston, Martin (I);Jones, Henry (I);Keefer, Don;Lenard, Mark;McCarthy, Kevin (I);McCormick, Myron;McGiver, John (I);Morgan, Chuck (IV);Morgan, Dan (I);Morse, Barry (I);Morse, Richard (II);Newman, Barry (I);O'Connor, Tim (I);O'Neill, Dick (I);Overton, Frank;Parfrey, Woodrow;Patten, Moultrie;Patterson, James (I);Rawlins, Lester;Richards, Paul (I);Richardson, Lee (I);Rolf, Frederick;Ryan, Mitchell (II);Ryder, Alfred;Selzer, Milton;Shirley, Tom (I);Stevens, Paul (I);Thomas, Richard (I);Traylor, William (I);Turner, George (III);Walston, Ray;Weaver, Fritz
2007	9.2	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2005	9.5	Comedy	"1st Amendment Stand Up"	Ahmed, Ahmed (I);Arnold, David A. (II);Barrie, Lester;Berry Boyz, Tha;Black, Anguz;Blackson, Michael;Bodden, Alonzo;Bradford, Darius;Brooks, Mike (IV);Brown, Benji;Brown, Steve (XLII);Bruce, Bruce;Brunson, Darryl;Bryant, Eddie (I);Carpenter, Ted (II);Carter, Darren (I);Chun, Arnold;Chun, Tommy;Clair, Joe (I);Cole, Deon;Cook, Vincent (I);Craig, Tyler (I);Crawford, Lavell;Cunningham, Allan (II);Curry, Don 'D.C.';Diaz, Joey;Doman, Jamal;Douglas, Karl 'Special K';Edington, Derron 'Smokey';Edwards, Ian (I);Edwards, Pierre;Forbes, Shang;Fraser, Drew;G., Ron;Gates, Jonathon;Gee, Cortney;Gilliard Jr., Lawrence;Grady, Raymond (I);Grant, Red (I);Green, Dannon;Gregory, Dick (I);Griff, E.;Hannah, James (I);Harris, Talent;Holcomb, Corey;Jamal, A.J.;Jeong, Ken;Johnson, Gary 'G. Thang';Jones, Cam;Jones, Shaun (IV);Jordan, Ronnie (II);Lamont, Jay;Lewis, Buddy (II);Lionel, Evan;Lipowski, Ray;Littleton, Darryl 'D'Militant';Lozada, Angelo (I);Mackie, Anthony;Man, Rod;Markie, Biz;May, Ralphie;McGraw, Esau;McKinley, Anthony;Medina, Joey (I);Miller, Cory 'Zooman';Mitchell, Finesse;Nabs, D.J.;Owen, Gary (III);Perry, Rodney (I);Phifer, Mark Chalant;Phillips, Jay (III);Raibon, David (I);Rawlings, Donnell;Red, Memphis;Reid, Christopher (I);Robinson, Roger (I);Robo, Will-e;Rush, Rudy;Saulsberry, Rodney;Smiley, Rickey;Smith, Mike Troy;Spates, Kier;Stapleton, Robert;Steele, Reggie;Teat, Jamie;Thomas, Chris (XXXI);Torry, Guy;Torry, Joe;Tuff, Terry;TuRae;Vanderpool, Ruperto;Viera, Mark;Vos, Rich;Walden, Charles (II);Walt, Sir;Wells, Joey;White, A.G.;Williams, Damon (III);Williams, Doug (I);Williams, Nema
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2013	9.1	Action	"24"	Bakshi, Gaurav;Bhatt, Adhir;Bhattacharya, Dibyendu;Bhoopalam, Neil;Chanana, Raaghav;Deo, Ajinkya;Gadekar, Jayant;Jeetendra (I);Jora, Priyanshu;Kadam, Kishore;Kanwarpal, Bikramjeet;Kapoor, Anil (IV);Kapoor, Rishi (I);Kaul, Rajat;Khan, Nissar;Khanna, Adish;Khanna, Rahul (I);Kher, Anupam;Pradhan, Shahnawaz;Saini, Gurpreet;Siddhartha, Rajeev;Singh, Rahul (I);Srinivas, Kiran (I);Subramaniam, Shivkumar;Suri, Yuri;Ved, Sundip;Vikal, Ankur
2008	9.6	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2013	9.1	Drama	"7 Lives Xposed"	Brackett, David;Bryant, Colin (I);Campangna, Robert;David, Mike;Davis, Mike (XXI);Duncan, Steve (IX);Eftimoski, Jason;Gunther, Bill (III);Hansen, Danny (I);Kasper, Kent;Ketcham, Tony;La Touche, Richard;Lezama, Javier;Long, Andrew Espinoza;Printers, Casey;Ramirez, Wilson;Roberts, Ian (XXIII);Scott, J. (VII);Shaffrey, Mike;Sinclair, Kurt;Sowers, Christopher;Stennette, Gary Anthony (I);Tucker, Dan (IV);Ursino, Phil;Wilson, Jesse (V)
2012	9.5	Comedy	"A Documentary of Life"	Anderson, Joe (XXIX);Armine, Greg;Brooks, Amanda (VI);Ciprano, Angie;Dobrow, Justin;Dooley, Allison;Gambino, Jake;Hollowell, Alex;Holtzman, Hali;Ivone, Antonio;Jenkins, Addison;Kincaid, Mary (III);Lamar, Brandon (I);Letteri, Tom;Macellaro, Joanna;Mansilugan, Janay;Martinez, Michael (XXXVII);Martinsen, Sean;Mathai, Jacob;Mazzeo, Mariah;Mennon, Sid;Obeso, Neil;Oster, Sam (II);Pritchard, Daniel (IV);Pulvir, A.J.;Raleigh, Sam;Riley, Zack;Rivera, Christian (VII);Rotunno, Mike;Schiedt, Steven;Sendra, Joey;Shell, Ric;Shic, Ken;Silk, Conor;Son, Clay;Sperl, Linda;Steve, Scooter;Thomas, Robert (XLI);Urcuiolio, Darren;Vargas, Elizabeth (VIII);Velasquez, Bianca;Wehnate, Altrew;Wehnke, Andrew;Wells, Amanda (II);Whitworth, Liam;Wood, Dan (XIII)
2000	9.2	Action	"A Nero Wolfe Mystery"	Adams, R.J.;Agranov, David;Alianak, Hrant;Banks, Boyd;Beaton, Bruce;Best, Wayne (I);Blanch, Frank;Bockstael, Robert;Butcher, Randy;Calderisi, David (I);Campbell, Nicholas (I);Cassel, Seymour;Cecere, Fulvio;Chau, Edde;Chaykin, Maury;Cox, Peter (I);Craig, Philip (I);Cumyn, Steve;Cuzzocrea, Dominic;Davis, Jim (XXVII);Delano, Frank (I);Doyle, Sean Wayne;Drake, Larry (I);Dunn, Conrad;Dunne, Griffin;Edison, Matthew;Eisler, Gary;Esposito, Giancarlo (I);Farr, Tom;Flaherty, Joe (I);Fox, Colin (I);Hemblen, David;Hinz, Marvin;Hoover, Howard;Hutton, Timothy;Kay, Bernard (II);Kramer, Ken (I);Lennox, Doug (I);Linders, Billy;Lovell, Brooke (I);Ludzik, Ted;MacDonald, Bill (I);McAfee, Leslie;McFee, Bruce;McGinnes, Brad;McMullen, Trent;McQueen, B.J.;Mensah, Peter (I);Moreau, Marty;Newman, Jack (II);Pingue, Joe;Plimpton, George (I);Poch-Goldin, Alex;Racicot, Jody;Reid, Adam Greydon;Reid, R.D.;Reineke, Gary;Renfro, Bryan (I);Rhoades, Michael;Richings, Julian;Rifkin, Ron;Rota, Carlo (I);Rox, Robbie;Rubinek, Saul;Sarrazin, Michael;Schurmann, David (I);Sharp, Matthew (I);Skog, Troy;Smith, Ken (III);Smitrovich, Bill;Starr, Beau;Tager, Aron;Tolkan, James;Tsarouchas, Angelo;Waugh, Richard
2013	9.2	Drama	"A Place to Call Home"	Allburn, Dominic;Baddams, Harrison;Baddams, Samuel;Barnard, Adam (III);Berry, David (XXIV);Byrnes, Joel Amos;Carbonaro, Ian;Carbonaro, James;Chick, Merlin;Climo, Brett;Colley, Jordan;Copic, Sinisa;D'Angelo, Angelo;Degas, Rupert;Draxl, Tim;Edwards, Ehran;Embart, Lukasz (I);French, Stuart (II);Gallo, James (II);Gray, Adam (IV);Grimley, Scott;Haft, Sam;Hall, Craig (II);Harlan, Cindel;Hazeldine, Glenn;Hill, Matthew (XX);Holden, Frankie J.;Holmes, Cameron (I);Holmes, Paul (XXIV);Horder, Luke;Horton, Neal;Izumihara, Yutaka;Jarrett, Matthew (II);Joseski, Jake;King, Angus (I);Levett, Matt;Lewis-Hubbard, Jeremy;Manon, Christian;Martin, Anthony (VI);Maxwell, Tristan (I);McFarlane, Andrew (I);McGrath, Justin (II);Mignone, Aldo;Miller, Pip;Mogel, Stefan;Montgomery, Jason (I);Moss, Lindsay;O'Sullivan, Tom (II);Proust, Dave;Quinton, Luke;Rowles, Jesse;Sacks, Martin;Scott, Craig (VIII);Shanney, Romeo;Sheasby, Michael (I);Shimamoto, Nobuaki;Sirmai, Geoff;Steel, Garry;Taylor, Sean (XXXV);Truman, Jeff (I);Washingmachine, George;Winspear, Benjamin;Wyld, Jak
