Year	Rating	Conference	Title	Author Names
2006 	7.35923957824707 	Action	Blood Diamond 	Leonardo DiCaprio; Djimon Hounsou; Jennifer Connelly; Arnold Vosloo; David Harewood; Jimi Mistry; Michael Sheen; Marius Weyers; Stephen Collins; Ato Essandoh 
2006 	7.167639255523682 	Drama	Lonely Hearts 	John Travolta; James Gandolfini; Salma Hayek; Jared Leto; Laura Dern; Dan Byrd; Alice Krige; Dagmara Dominczyk; Bailee Madison 
2011 	7.554875373840332 	Comedy	The Hangover Part II 	Bradley Cooper; Zach Galifianakis; Justin Bartha; Ed Helms; Ken Jeong; Mike Tyson; Jamie Chung; Paul Giamatti; Jeffrey Tambor; Mason Lee 
1942 	7.812180042266846 	Drama	Casablanca 	Humphrey Bogart; Ingrid Bergman; Paul Henreid; Claude Rains; Conrad Veidt; Sydney Greenstreet; Peter Lorre; Madeleine Lebeau; Dooley Wilson; Joy Page 
1995 	7.442391872406006 	Fantasy	Jumanji 	
1996 	7.658870220184326 	Drama	Trainspotting 	Ewan McGregor; Ewen Bremner; Jonny Lee Miller; Kevin McKidd; Kelly Macdonald; Peter Mullan; James Cosmo; Eileen Nicholas; Shirley Henderson 
2002 	7.258140563964844 	Animation	Spirit: Stallion of the Cimarron 	Matt Damon; James Cromwell 
2008 	7.585334300994873 	Drama	21 	Jim Sturgess; Kevin Spacey; Kate Bosworth; Laurence Fishburne; Aaron Yoo; Jacob Pitts; Jack McGee; Josh Gad 
2005 	7.213498592376709 	Fantasy	Charlie and the Chocolate Factory 	Johnny Depp; Freddie Highmore; AnnaSophia Robb; David Kelly; Helena Bonham Carter; Noah Taylor; Philip Wiegratz; James Fox; Missi Pyle; Christopher Lee 
1988 	8.061498641967773 	Drama	Nuovo Cinema Paradiso 	Philippe Noiret; Jacques Perrin; Marco Leonardi; Salvatore Cascio; Agnese Nano; Enzo Cannavale; Leo Gullotta; Pupella Maggio; Leopoldo Trieste; Tano Cimarosa 
2006 	7.444244384765625 	Action	Pirates of the Caribbean: Dead Man's Chest 	Johnny Depp; Keira Knightley; Orlando Bloom; Jack Davenport; Bill Nighy; Stellan Skarsg\u00e5rd; Tom Hollander; Jonathan Pryce; Naomie Harris; Geoffrey Rush 
1996 	7.70278787612915 	Action	The Rock 	Sean Connery; Nicolas Cage; Ed Harris; John Spencer; David Morse; William Forsythe; Michael Biehn; Vanessa Marcil; John C. McGinley; Bokeem Woodbine 
2004 	8.107501029968262 	Action	Lost 	Dean Cain; Ashley Scott; Danny Trejo; Justin Henry 
1975 	7.615694999694824 	Drama	One Flew Over the Cuckoo's Nest 	Jack Nicholson; Louise Fletcher; William Redfield; Scatman Crothers; Danny DeVito; Brad Dourif; Christopher Lloyd; Will Sampson; Michael Berryman; Sydney Lassick 
2007 	6.7810797691345215 	Action	Hitman 	Timothy Olyphant; Dougray Scott; Robert Knepper; Ulrich Thomsen; Henry Ian Cusick; Eriq Ebouaney; James Faulkner 
