Year	Rating	Conference	Title	Author Names
2007	8.7	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2010	8.5	Comedy	"12 Steps to Recovery"	Banks, Nicoye;Chanlin, Joey;Cheston, Lamar K. (I);Cornelius, Ohene;Corry, Mario;Croce, Michael;Crownson, David;Di Stasio, Pasquale;Hill, Stephen (VII);Howell, Ayinde;LeMay, Addison;McGleese, Dwayne;McKay, Erik (I);Naim, Solvan;O'Dell, Joe;Peoples, Michael T.;Rey, Shaun;Rich, Celester;Rivera, Ron (III);Rustin, Chris;Silas, Michael;Soze, Kaleber;Strife, Rashawn;Wordz, Advocate of
2013	8.9	Comedy	"14.000.000.000$!!!"	Gavros, Spyros o;Hulk, George;Meramveliotakis, Tony;Mustang, Jimm;Papakonstadinou, Vasilis;Plako-Georges;Skoutelis, Nikolaos;Skoutelis, Rafael;Stamatis, Centipede;Thimo, Leonard
2002	8.5	Comedy	"15 Storeys High"	Alexander, Keith (XII);Bachelor, Dean;Bachman, James (I);Bailey, Bill (I);Batchelor, Dean;Benson, Perry (I);Bird, Terry (I);Boyce, Frank;Brooke, Andrew (I);Cameron, Earl (I);Clayton, Simon (II);Clerkin, Cavan (I);Corser, Alan;Craigs, Robert;Dexter, Felix;Donn, Ray;Eldon, Kevin;Ewer, Jack;Feeney, Rory;Godley, Simon;Greene, Michael (XX);Grimstead, Glyn;Holt, David (VI);Hylton, Adrian;Jones, Toby (I);Joyce, Jon (I);Lamarr, Mark;Lock, Sean;Lowe, Alex (I);Mabey, Russell;McLoughlin, Adrian;Memarzia, Nasser;Mersh, Dan;Patel, Bhasker;Pearce, Ed (II);Peters, Lenny (I);Putner, Paul;Ritzema, Jake;Rogers, Marcus (II);Serafinowicz, Peter;Smiley, Michael;Tomlin, William;Trenaman, Martin;Webb, Steven (I);Wombles, The;Wong, Benedict;Woodman, Liam
2008	8.5	Drama	"17 - o poveste despre destin"	Anastasia, Nicu;Avadanei, Alexandru;Barbulescu, Constantin (I);Dutu, Gabriel;Finti, Andrei;Marcu, Daniel;Motriuc, Eugen Cristian;Nitu, Gelu;Paraschiv, Valentin;Poama, Sorin;Popa, Ovidiu-Gheorghe;Trandafir, Claudiu;Zory, David
2010	8.3	Comedy	"18 to Life"	Alacchi, Carl;Anderson, Don (XIV);Antel, Ryan Caleb;Apergis, Andreas;Atkin, Harvey;Benton, Eric (I);Bingham, Dan;Biondi, Joe;Bowen, Wyatt;Bowser, Glen;Burns, Rob (I);Cardillo, Alex;Charles, Steven (IV);Cohen-Demers, Raphael;Costello, Patrick John;Crevier, Jules;Cullen, Se�n;Cuthbertson, Graham;Devouges, Shayne;Dillon, Peter Michael;Dozier, Michael (I);Dubsky, Jonathan;Dukic, Dusan;Dunlevy, Greg;Dunlevy, Gregoire;Farmer, Andrew (III);Gasbarro, Dario;Gorchkov, Alexandre;Goulem, Alain;Hamilton, Michael (XVI);Harrouch, Alex;Hayes, Trevor;Hodko, Kristian;Jodoin, Emile;Joseph, Mike (IV);Keiran, Gwin;Keleghan, Peter;Knight, Victor (I);Laferriere, Max;Langham, Ed;Larson, Elliott;Mabe, Ricky;McKenna, Basil;Murphy, Michael Daniel;Neill, Ross (II);O'Connor, Daniel (IV);Pardo, Henri;Paterson, Mike (II);Patry, Serge;Perron, Michel;Proulx, Ken;Rath, Jesse;Rochon, Bart;Rozon, Tim;Rudolph (III);Seater, Michael;Seguin, Derek;Siddiqi, Atif Y.;Switzer, Kyle;Topor, John
2010	8.5	Drama	"1916 Seachtar na C�sca"	Adams, Ronan;Argue, Karl (I);Bourke, Frank;Burke, Liam (III);Cannon, Steve (IX);Cleary, Niall;Connors, Christopher (IV);Cranitch, Lorcan;D'Arcy, Cian;D'Arcy, Stephen;Delaney, Conor;Draper, Eamonn;Flynn, James (V);Ford, John (XXII);Fortune, Brian (I);Gleeson, Brendan;Lamb, Marcus (I);Leonard, Ceillan;Mac Aindreasa, Alastair;McEneaney, Patrick;McGovern, Sam;Mullan, Gary;Mullen, Rory;Murphy, Tadhg;Nealon, Len;O'Dowd, John (II);O'Treasaigh, Peadar;Regan, John (XV);Roche, Cillian (I);Smith, Henry K.;Tuohy, John;Tynan Daly, Jonathan;� Meallaigh, Se�n T.
1954	8.4	Family	"1:0 f�r Sie"	Blum, Hans;Frankenfeld, Peter;Gregor, Gerhard;G�nther, Walter;Isar Spatzen, Die;Kilima Hawaiians;Low, Bruce (I);Messner, Franz;M�nster, Addi;Netzle, Klaus;Roswaenge, Helge;Simson, Rolf;Spahrbier, Walter;Thon, Franz
2005	9.5	Comedy	"1st Amendment Stand Up"	Ahmed, Ahmed (I);Arnold, David A. (II);Barrie, Lester;Berry Boyz, Tha;Black, Anguz;Blackson, Michael;Bodden, Alonzo;Bradford, Darius;Brooks, Mike (IV);Brown, Benji;Brown, Steve (XLII);Bruce, Bruce;Brunson, Darryl;Bryant, Eddie (I);Carpenter, Ted (II);Carter, Darren (I);Chun, Arnold;Chun, Tommy;Clair, Joe (I);Cole, Deon;Cook, Vincent (I);Craig, Tyler (I);Crawford, Lavell;Cunningham, Allan (II);Curry, Don 'D.C.';Diaz, Joey;Doman, Jamal;Douglas, Karl 'Special K';Edington, Derron 'Smokey';Edwards, Ian (I);Edwards, Pierre;Forbes, Shang;Fraser, Drew;G., Ron;Gates, Jonathon;Gee, Cortney;Gilliard Jr., Lawrence;Grady, Raymond (I);Grant, Red (I);Green, Dannon;Gregory, Dick (I);Griff, E.;Hannah, James (I);Harris, Talent;Holcomb, Corey;Jamal, A.J.;Jeong, Ken;Johnson, Gary 'G. Thang';Jones, Cam;Jones, Shaun (IV);Jordan, Ronnie (II);Lamont, Jay;Lewis, Buddy (II);Lionel, Evan;Lipowski, Ray;Littleton, Darryl 'D'Militant';Lozada, Angelo (I);Mackie, Anthony;Man, Rod;Markie, Biz;May, Ralphie;McGraw, Esau;McKinley, Anthony;Medina, Joey (I);Miller, Cory 'Zooman';Mitchell, Finesse;Nabs, D.J.;Owen, Gary (III);Perry, Rodney (I);Phifer, Mark Chalant;Phillips, Jay (III);Raibon, David (I);Rawlings, Donnell;Red, Memphis;Reid, Christopher (I);Robinson, Roger (I);Robo, Will-e;Rush, Rudy;Saulsberry, Rodney;Smiley, Rickey;Smith, Mike Troy;Spates, Kier;Stapleton, Robert;Steele, Reggie;Teat, Jamie;Thomas, Chris (XXXI);Torry, Guy;Torry, Joe;Tuff, Terry;TuRae;Vanderpool, Ruperto;Viera, Mark;Vos, Rich;Walden, Charles (II);Walt, Sir;Wells, Joey;White, A.G.;Williams, Damon (III);Williams, Doug (I);Williams, Nema
1988	8.5	Comedy	"2 Hip 4 TV"	Jaye, Michael (II);Quinn, Colin;Zappa, Ahmet
