Year	Rating	Conference	Title	Author Names
1961	9.2	Drama	"'Way Out"	Balsam, Martin;Brooks, Martin E.;Broun, Heywood Hale;Cameron, Jean;Cimino, Leonardo;Conrad, Michael (I);Coolidge, Philip;Dahl, Roald;Daly, Frank;Dawson, Anthony (I);Elcar, Dana;Everhart, Rex;Finnerty, Warren;Fitzgerald, Neil (I);Fowkes, Conard;Garrison, Sean (I);Gibson, John (I);Hamilton, John F.;Hamilton, Murray (I);Hughes, Barnard;Huston, Martin (I);Jones, Henry (I);Keefer, Don;Lenard, Mark;McCarthy, Kevin (I);McCormick, Myron;McGiver, John (I);Morgan, Chuck (IV);Morgan, Dan (I);Morse, Barry (I);Morse, Richard (II);Newman, Barry (I);O'Connor, Tim (I);O'Neill, Dick (I);Overton, Frank;Parfrey, Woodrow;Patten, Moultrie;Patterson, James (I);Rawlins, Lester;Richards, Paul (I);Richardson, Lee (I);Rolf, Frederick;Ryan, Mitchell (II);Ryder, Alfred;Selzer, Milton;Shirley, Tom (I);Stevens, Paul (I);Thomas, Richard (I);Traylor, William (I);Turner, George (III);Walston, Ray;Weaver, Fritz
2007	9.2	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2013	9.1	Action	"24"	Bakshi, Gaurav;Bhatt, Adhir;Bhattacharya, Dibyendu;Bhoopalam, Neil;Chanana, Raaghav;Deo, Ajinkya;Gadekar, Jayant;Jeetendra (I);Jora, Priyanshu;Kadam, Kishore;Kanwarpal, Bikramjeet;Kapoor, Anil (IV);Kapoor, Rishi (I);Kaul, Rajat;Khan, Nissar;Khanna, Adish;Khanna, Rahul (I);Kher, Anupam;Pradhan, Shahnawaz;Saini, Gurpreet;Siddhartha, Rajeev;Singh, Rahul (I);Srinivas, Kiran (I);Subramaniam, Shivkumar;Suri, Yuri;Ved, Sundip;Vikal, Ankur
2008	9.6	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2013	9.1	Drama	"7 Lives Xposed"	Brackett, David;Bryant, Colin (I);Campangna, Robert;David, Mike;Davis, Mike (XXI);Duncan, Steve (IX);Eftimoski, Jason;Gunther, Bill (III);Hansen, Danny (I);Kasper, Kent;Ketcham, Tony;La Touche, Richard;Lezama, Javier;Long, Andrew Espinoza;Printers, Casey;Ramirez, Wilson;Roberts, Ian (XXIII);Scott, J. (VII);Shaffrey, Mike;Sinclair, Kurt;Sowers, Christopher;Stennette, Gary Anthony (I);Tucker, Dan (IV);Ursino, Phil;Wilson, Jesse (V)
2012	9.5	Comedy	"A Documentary of Life"	Anderson, Joe (XXIX);Armine, Greg;Brooks, Amanda (VI);Ciprano, Angie;Dobrow, Justin;Dooley, Allison;Gambino, Jake;Hollowell, Alex;Holtzman, Hali;Ivone, Antonio;Jenkins, Addison;Kincaid, Mary (III);Lamar, Brandon (I);Letteri, Tom;Macellaro, Joanna;Mansilugan, Janay;Martinez, Michael (XXXVII);Martinsen, Sean;Mathai, Jacob;Mazzeo, Mariah;Mennon, Sid;Obeso, Neil;Oster, Sam (II);Pritchard, Daniel (IV);Pulvir, A.J.;Raleigh, Sam;Riley, Zack;Rivera, Christian (VII);Rotunno, Mike;Schiedt, Steven;Sendra, Joey;Shell, Ric;Shic, Ken;Silk, Conor;Son, Clay;Sperl, Linda;Steve, Scooter;Thomas, Robert (XLI);Urcuiolio, Darren;Vargas, Elizabeth (VIII);Velasquez, Bianca;Wehnate, Altrew;Wehnke, Andrew;Wells, Amanda (II);Whitworth, Liam;Wood, Dan (XIII)
2013	9.2	Drama	"A Place to Call Home"	Allburn, Dominic;Baddams, Harrison;Baddams, Samuel;Barnard, Adam (III);Berry, David (XXIV);Byrnes, Joel Amos;Carbonaro, Ian;Carbonaro, James;Chick, Merlin;Climo, Brett;Colley, Jordan;Copic, Sinisa;D'Angelo, Angelo;Degas, Rupert;Draxl, Tim;Edwards, Ehran;Embart, Lukasz (I);French, Stuart (II);Gallo, James (II);Gray, Adam (IV);Grimley, Scott;Haft, Sam;Hall, Craig (II);Harlan, Cindel;Hazeldine, Glenn;Hill, Matthew (XX);Holden, Frankie J.;Holmes, Cameron (I);Holmes, Paul (XXIV);Horder, Luke;Horton, Neal;Izumihara, Yutaka;Jarrett, Matthew (II);Joseski, Jake;King, Angus (I);Levett, Matt;Lewis-Hubbard, Jeremy;Manon, Christian;Martin, Anthony (VI);Maxwell, Tristan (I);McFarlane, Andrew (I);McGrath, Justin (II);Mignone, Aldo;Miller, Pip;Mogel, Stefan;Montgomery, Jason (I);Moss, Lindsay;O'Sullivan, Tom (II);Proust, Dave;Quinton, Luke;Rowles, Jesse;Sacks, Martin;Scott, Craig (VIII);Shanney, Romeo;Sheasby, Michael (I);Shimamoto, Nobuaki;Sirmai, Geoff;Steel, Garry;Taylor, Sean (XXXV);Truman, Jeff (I);Washingmachine, George;Winspear, Benjamin;Wyld, Jak
1989	9.3	Comedy	"About Face"	Barron, Keith;Bathurst, Robert;Bird, Philip (I);Brenman, Owen;Brooke, Paul (I);Brough, Steven;Caballero, Luie;Cadell, Simon;Campion, Gerald;Cater, John (I);Clunes, Martin;Cox, Gregory (I);Croucher, Brian;Duncan, Alastair (I);Duval, John (VI);Faulkner, Trader;Gambon, Michael;Gaunt, William (I);Gould, Duncan (I);Greene, Brian (IV);Greif, Stephen;Grout, James (I);Guggiana, Pietro;Henson, Basil;Heredia, Tito;Hill, Bernard (I);James, Godfrey;Jayston, Michael;Johnson, Stephen (XVI);Kingston, Mark (I);Kydd, Jonathan;Lebor, Stanley;Long, Joseph (III);MacDonald, Kenneth (II);Maloney, Nick (I);Mason, Max (I);McDermott, Brian (III);McGrath, Rory;Mullarkey, Neil (I);O'Brien, Philip;O'Callaghan, Tony (I);Perry, Jeffrey;Ryall, David;Shrapnel, John;Simkins, Michael (I);Slattery, Tony;Sloman, Roger;Stevens, Ronnie;Stewart, Reginald (I);Stringer, Nick (I);Sullivan, Chris (I);Swift, Marty;Taplin, Terence;Tordoff, John;Traynor, Declan;Trickitt, Ray;Vernon, Richard (II);Wells, John (I)
2011	9.2	Drama	"Adini Feriha Koydum"	Akg�n, Yusuf;Aky�z, Harun;Altunkaya, Ufuk Tan;Andic, Furkan;Bilmaz, Cihan;Bozkurt, �inar;Carda, �zhan;Kaya, Onay;Kilic, Baris (I);Ko�, Emre;Okan, Cihan;Onuk, Murat;Selcuk, Melih;Tepe, Hakan;Ulusoy, �agatay;�ekmez, Metin;�zbay, Eray;�zcan, G�k�er;�zdemir, Doruk
2013	9.2	Comedy	"Adult Wednesday"	Cope, Hunter (I);Dax, Tim;Gage, Brad;Kennedy, Kiel;Schwartz, Eliot;Tauscher, Clint;Thompson, Nick (XXXII);Turton, Bob;Wagner, Andy (III);Wilson, Toby (II)
2010	9.6	Comedy	"Aliens Inside"	Bartocci, Giacomo R.;Belletti, Lorenzo;D'Aponte, Riccardo;Esteve C�rdoba, Laia;Giordano, Gennaro;Lo Coco, Andrea;Lupo, Serena;Sciarretta, Daniele;Tamburini, Riccardo;Todria, George (I);Visotto, Nicola;Volpe, Giorgio
1993	9.5	Comedy	"Almost Home"	Affleck, Ben;Aulisio, Curnal Achilles;Birney, Frank;Brown, Elliott J.;Calvert, James (I);Costanzo, Robert;Federman, Wayne;Gleason, James (II);Gummersall, Devon;Kenner, Jacob;King, Perry (I);Lambert, Jay (I);Lawrence, Joseph (II);Leto, Jared;Logue, Donal;Marsden, Jason (I);Michaely, Joel;Norris, Lee (I);Panebianco, Richard;Rich, Christopher;Shera, Mark;Van Norden, Peter;Ventresca, Vincent;Whitehead, Paxton
1997	9.2	Comedy	"Alright Already"	Adler, Jerry (I);Armstrong, Curtis;Baker, Scott Thompson (I);Barnett, Craig (I);Baskin, Elya;Boyd, Joshua (I);Buckley, Paul (I);Carmichael, Clint;Cistaro, Anthony;Cranston, Bryan;Crosby, Norm;D'Aquino, John (I);Darga, Christopher;Davies, Lane;Espinoza, Gil;Fite, Mark (I);Floyd, Robert (III);Freeman, Loren;Gant, Richard;Griggs, Jeff (I);Grunberg, Greg;Halpin, Michael (I);Hearst, Rick;Hoffman, Rick (I);Jenkins, Roy (I);Johnston, Jay (I);Koherr, Bob;Kramer, Eric Allan;Krassner, J. David;Manza, Ralph;Meek, Jeffrey (I);Nahan, Stu;Nozick, Bruce;O'Flaherty, Jake;Ober, Ken;Rackham, Marty;Raider-Wexler, Victor;Rhoads, Terry;Rich, Christopher;Rivas, Geoffrey;Schneiderman, David (IV);Serano, Greg;Sterling, Maury;Stoller, Fred;Stuart, James Patrick;Waggoner, Lyle;Wallace, George (I);Waring, Todd;Willoughby, Steven C.;Wise, Jim (I)
