Year	Rating	Conference	Title	Author Names
2006	8.8	Drama	"1001 gece"	Aydan, Ege;Belgin, Metin;Bilingen, Erdal;Demir, Erg�n;D�venci, Ismail;Erdal, Efe Can;Ergen�, Halit;Ermakastar, Merih;Firat, Mert;Flordun, Tardu;Karikutal, Temmuz;Kumbaracibasi, Teoman;K���k�aglayan, Bartu;Onurlu, G�rsan Piri;Tekniker, Suphi;�ekmez, Metin;�inar, Efe
1991	8.6	Drama	"101-kai me no puropozu"	Eguchi, Y�suke;Hasegawa, Hatsunori;Kosaka, Kazuya;Maeda, Shinnosuke;Satoi, Kenta;Takeda, Tetsuya;Takeuchi, Riki;Yamazaki, Mitsuru
2006	8.6	Drama	"11 Cameras"	Belford, Steve;Campbell, Alex (I);Carrera, Brandon;Casey, Dillon (I);Chotalia, Yogesh;Doyle, Colin (I);Fyfe, Mac;Gilchrist, Riley;Grant, Jamaal;Hunter, Sean (IV);Ishmael, Marvin (I);Jarsky, Joris;Mann, Jasbir;Roberto, Adrian;Roop, Jeff (I);Sitahal, Errol;Van Sprang, Alan;Willcocks, Chuck
2007	8.7	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2010	8.5	Comedy	"12 Steps to Recovery"	Banks, Nicoye;Chanlin, Joey;Cheston, Lamar K. (I);Cornelius, Ohene;Corry, Mario;Croce, Michael;Crownson, David;Di Stasio, Pasquale;Hill, Stephen (VII);Howell, Ayinde;LeMay, Addison;McGleese, Dwayne;McKay, Erik (I);Naim, Solvan;O'Dell, Joe;Peoples, Michael T.;Rey, Shaun;Rich, Celester;Rivera, Ron (III);Rustin, Chris;Silas, Michael;Soze, Kaleber;Strife, Rashawn;Wordz, Advocate of
2013	8.9	Comedy	"14.000.000.000$!!!"	Gavros, Spyros o;Hulk, George;Meramveliotakis, Tony;Mustang, Jimm;Papakonstadinou, Vasilis;Plako-Georges;Skoutelis, Nikolaos;Skoutelis, Rafael;Stamatis, Centipede;Thimo, Leonard
2008	8.5	Drama	"17 - o poveste despre destin"	Anastasia, Nicu;Avadanei, Alexandru;Barbulescu, Constantin (I);Dutu, Gabriel;Finti, Andrei;Marcu, Daniel;Motriuc, Eugen Cristian;Nitu, Gelu;Paraschiv, Valentin;Poama, Sorin;Popa, Ovidiu-Gheorghe;Trandafir, Claudiu;Zory, David
1954	8.4	Family	"1:0 f�r Sie"	Blum, Hans;Frankenfeld, Peter;Gregor, Gerhard;G�nther, Walter;Isar Spatzen, Die;Kilima Hawaiians;Low, Bruce (I);Messner, Franz;M�nster, Addi;Netzle, Klaus;Roswaenge, Helge;Simson, Rolf;Spahrbier, Walter;Thon, Franz
1988	8.5	Comedy	"2 Hip 4 TV"	Jaye, Michael (II);Quinn, Colin;Zappa, Ahmet
2013	8.5	Action	"20 Dakika"	Aksum, Ilker;Aybar, Enis;Esen, Mehmet;Nalci, �zg�r Ege;Pros�iler, Murat;Tamer, Cihat;Yarar, B�lent Emin;Y�r�k, Burak;�akir, Ushan;�ekmez, Metin;�elik, Firat
