Year	Rating	Conference	Title	Author Names
2006	8.4	Action	"009-1"	Akimoto, Y�suke;Calvert, Wendel;Campbell, Charles (II);Chijiwa, Ry�saku;Dalmon, Michael;Douglas, Jason (IV);End�, Junichi;Fenley, Steve;Fleck, Marty;Fraser, Glenn (II);Fujiwara, Keiji;Ginga, Banj�;Gordon, Bobby (III);Grelle, Josh (I);Gremillion, John;Haddock, Gray G.;Hickman, Jay (I);Hydari, Aamir;Imaruoka, Atsushi;Ishigami, Yuuichi;Iwasaki, Masami;James, Grant (I);Jones, Kyle (III);Kawamoto, Kunihiro;Kraft, Robert (III);Kusumi, Naomi;Love, Andrew (IV);Loveless, Chris (III);Manley, George;Matsuoka, Daisuke (I);Mignogna, Vic;Miyajima, Fumitoshi;Mogami, Tsuguo;Morikawa, Toshiyuki;Mungle, Rob;Noda, Kei'ichi;Ohta, Tetsuharu;Reynolds, Xero;Ross, Phil (II);Sakai, Keik�;Sawada, Masataka;Swasey, John;Tamura, Kensuke;Toriumi, Kosuke;Witherspoon, Jackson;Yamanoi, Jin;Yara, Y�saku;�tsuka, H�ch�
2009	8.4	Comedy	"10 Things I Hate About You"	Albert, Aaron (II);Alvarado, Allen;Benedict, Jordan;Braun, Nicholas (I);Brighton, Jimmy;Burkey, Bobby;Crown, Price;Damon, Grey;Elms, Kevin;Erasme, Johnny;Francisco, Rafael;Garrett, LaMonica;Gould, Wray;Hill, Dave (VIII);Jordan, Reggie (I);Kaplan, Kyle;Kim, Paul S.;Leatherberry, Kyle;Lee, Justin (II);LeFlore, Jensen (I);Lyde, Ted;McMains, Cody (I);Miller, Larry (I);Myers, Eli;Parks, Ladell;Peck, Ethan (I);Phillips, Jay (III);Pinkston, Ryan (I);Rodriguez, Alexander (III);Salvatore Jr., Jack;Santiago, Ray;Shand, Christopher;Simpson, Jeremy Ray;Spence, Joel (I);Staggs, Alex;Stone, Benjamin (II);Storrs, David (II);Washington, Michael Benjamin;Wharton, Richard (I);Wing, Sean;Woods, Jim (III);Young, Craig Robert;Zylka, Chris
2014	8.7	Comedy	"100 Things to Do Before High School"	Adams, Guilford;Aggerwhil, Raajeev;Bonilla, Joseph (II);Carey, Malakai;Clasen, Colin;Daniel, Porfirio Caballero;De Sena, Jack;Decenzo, Gianni;DiNuzzo, Michael Anthony;Dittman, Henry;Duran, Cai;Ehrich, Max;Folmar, Marcus;Furu, Nicholas;Gibson, Tyler (VIII);Jay, Baron;Joyner, Owen;Melton, Jacob (I);Miller, Matthew Scott (I);Morris, Raymond (I);Neiman, Christopher;Nittolo, Chazz;O'Connor, Mickey (II);Robles, Alex N.;Royer, Benjamin;Royer, Matthew (III);Shelat, Prem;Shivji, Jameel;Soni, Karan (I);Suter, Nicolas Eduard;Toombs, Jaheem;Tyler, Brent (I);Wrighster, Ajani
2006	8.8	Drama	"1001 gece"	Aydan, Ege;Belgin, Metin;Bilingen, Erdal;Demir, Erg�n;D�venci, Ismail;Erdal, Efe Can;Ergen�, Halit;Ermakastar, Merih;Firat, Mert;Flordun, Tardu;Karikutal, Temmuz;Kumbaracibasi, Teoman;K���k�aglayan, Bartu;Onurlu, G�rsan Piri;Tekniker, Suphi;�ekmez, Metin;�inar, Efe
1991	8.6	Drama	"101-kai me no puropozu"	Eguchi, Y�suke;Hasegawa, Hatsunori;Kosaka, Kazuya;Maeda, Shinnosuke;Satoi, Kenta;Takeda, Tetsuya;Takeuchi, Riki;Yamazaki, Mitsuru
2006	8.6	Drama	"11 Cameras"	Belford, Steve;Campbell, Alex (I);Carrera, Brandon;Casey, Dillon (I);Chotalia, Yogesh;Doyle, Colin (I);Fyfe, Mac;Gilchrist, Riley;Grant, Jamaal;Hunter, Sean (IV);Ishmael, Marvin (I);Jarsky, Joris;Mann, Jasbir;Roberto, Adrian;Roop, Jeff (I);Sitahal, Errol;Van Sprang, Alan;Willcocks, Chuck
2007	8.7	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2010	8.5	Comedy	"12 Steps to Recovery"	Banks, Nicoye;Chanlin, Joey;Cheston, Lamar K. (I);Cornelius, Ohene;Corry, Mario;Croce, Michael;Crownson, David;Di Stasio, Pasquale;Hill, Stephen (VII);Howell, Ayinde;LeMay, Addison;McGleese, Dwayne;McKay, Erik (I);Naim, Solvan;O'Dell, Joe;Peoples, Michael T.;Rey, Shaun;Rich, Celester;Rivera, Ron (III);Rustin, Chris;Silas, Michael;Soze, Kaleber;Strife, Rashawn;Wordz, Advocate of
2013	8.9	Comedy	"14.000.000.000$!!!"	Gavros, Spyros o;Hulk, George;Meramveliotakis, Tony;Mustang, Jimm;Papakonstadinou, Vasilis;Plako-Georges;Skoutelis, Nikolaos;Skoutelis, Rafael;Stamatis, Centipede;Thimo, Leonard
2002	8.5	Comedy	"15 Storeys High"	Alexander, Keith (XII);Bachelor, Dean;Bachman, James (I);Bailey, Bill (I);Batchelor, Dean;Benson, Perry (I);Bird, Terry (I);Boyce, Frank;Brooke, Andrew (I);Cameron, Earl (I);Clayton, Simon (II);Clerkin, Cavan (I);Corser, Alan;Craigs, Robert;Dexter, Felix;Donn, Ray;Eldon, Kevin;Ewer, Jack;Feeney, Rory;Godley, Simon;Greene, Michael (XX);Grimstead, Glyn;Holt, David (VI);Hylton, Adrian;Jones, Toby (I);Joyce, Jon (I);Lamarr, Mark;Lock, Sean;Lowe, Alex (I);Mabey, Russell;McLoughlin, Adrian;Memarzia, Nasser;Mersh, Dan;Patel, Bhasker;Pearce, Ed (II);Peters, Lenny (I);Putner, Paul;Ritzema, Jake;Rogers, Marcus (II);Serafinowicz, Peter;Smiley, Michael;Tomlin, William;Trenaman, Martin;Webb, Steven (I);Wombles, The;Wong, Benedict;Woodman, Liam
