Year	Rating	Conference	Title	Author Names
2014	8.7	Comedy	"100 Things to Do Before High School"	Adams, Guilford;Aggerwhil, Raajeev;Bonilla, Joseph (II);Carey, Malakai;Clasen, Colin;Daniel, Porfirio Caballero;De Sena, Jack;Decenzo, Gianni;DiNuzzo, Michael Anthony;Dittman, Henry;Duran, Cai;Ehrich, Max;Folmar, Marcus;Furu, Nicholas;Gibson, Tyler (VIII);Jay, Baron;Joyner, Owen;Melton, Jacob (I);Miller, Matthew Scott (I);Morris, Raymond (I);Neiman, Christopher;Nittolo, Chazz;O'Connor, Mickey (II);Robles, Alex N.;Royer, Benjamin;Royer, Matthew (III);Shelat, Prem;Shivji, Jameel;Soni, Karan (I);Suter, Nicolas Eduard;Toombs, Jaheem;Tyler, Brent (I);Wrighster, Ajani
2006	8.8	Drama	"1001 gece"	Aydan, Ege;Belgin, Metin;Bilingen, Erdal;Demir, Erg�n;D�venci, Ismail;Erdal, Efe Can;Ergen�, Halit;Ermakastar, Merih;Firat, Mert;Flordun, Tardu;Karikutal, Temmuz;Kumbaracibasi, Teoman;K���k�aglayan, Bartu;Onurlu, G�rsan Piri;Tekniker, Suphi;�ekmez, Metin;�inar, Efe
1991	8.6	Drama	"101-kai me no puropozu"	Eguchi, Y�suke;Hasegawa, Hatsunori;Kosaka, Kazuya;Maeda, Shinnosuke;Satoi, Kenta;Takeda, Tetsuya;Takeuchi, Riki;Yamazaki, Mitsuru
2006	8.6	Drama	"11 Cameras"	Belford, Steve;Campbell, Alex (I);Carrera, Brandon;Casey, Dillon (I);Chotalia, Yogesh;Doyle, Colin (I);Fyfe, Mac;Gilchrist, Riley;Grant, Jamaal;Hunter, Sean (IV);Ishmael, Marvin (I);Jarsky, Joris;Mann, Jasbir;Roberto, Adrian;Roop, Jeff (I);Sitahal, Errol;Van Sprang, Alan;Willcocks, Chuck
2007	8.7	Comedy	"12 Miles of Bad Road"	Abernathy, Don;Allen, Ivan (I);Andrews, David (I);Arrow, David;Battle, Texas;Bradford, Jon;Briddell, Jon;Bridgers, Sean;Carl, Alex;Chab�n, Alejandro;Christian, Shawn (I);Cole, Craig (II);Cole, Gary (I);Denzlinger, Jeremy;Garcia, Ted (I);Gleason, Jim (I);Jennings, Benton;Jordan, Leslie;LeClair, Adam (I);Lewis, Bubba;McShae, Michael;Moore, Tyler Jacob (I);Nieb, Jim;O'Connor, Dan (I);Palomares, Collin;Sanders, Kendall Ryan;Smith, Scott Alan (I);Spence, Joel (I);Vestal, Brian;White, Ron (V)
2013	8.9	Comedy	"14.000.000.000$!!!"	Gavros, Spyros o;Hulk, George;Meramveliotakis, Tony;Mustang, Jimm;Papakonstadinou, Vasilis;Plako-Georges;Skoutelis, Nikolaos;Skoutelis, Rafael;Stamatis, Centipede;Thimo, Leonard
2002	8.6	Comedy	"15 Storeys High"	Alexander, Keith (XII);Bachelor, Dean;Bachman, James (I);Bailey, Bill (I);Batchelor, Dean;Benson, Perry (I);Bird, Terry (I);Boyce, Frank;Brooke, Andrew (I);Cameron, Earl (I);Clayton, Simon (II);Clerkin, Cavan (I);Corser, Alan;Craigs, Robert;Dexter, Felix;Donn, Ray;Eldon, Kevin;Ewer, Jack;Feeney, Rory;Godley, Simon;Greene, Michael (XX);Grimstead, Glyn;Holt, David (VI);Hylton, Adrian;Jones, Toby (I);Joyce, Jon (I);Lamarr, Mark;Lock, Sean;Lowe, Alex (I);Mabey, Russell;McLoughlin, Adrian;Memarzia, Nasser;Mersh, Dan;Patel, Bhasker;Pearce, Ed (II);Peters, Lenny (I);Putner, Paul;Ritzema, Jake;Rogers, Marcus (II);Serafinowicz, Peter;Smiley, Michael;Tomlin, William;Trenaman, Martin;Webb, Steven (I);Wombles, The;Wong, Benedict;Woodman, Liam
2008	9.1	Drama	"2009: A True Story"	Adams, Skylar T.;Baer, Dotan;Boone, Bryan;de Leonardis, John Paul;Harnish, Cody;Murphy, Scott Bradley;Parker, Robert T.;Riordan, Tom (I);Sigloch, Matt;Wells, Ron (II)
2013	8.6	Action	"24"	Bakshi, Gaurav;Bhatt, Adhir;Bhattacharya, Dibyendu;Bhoopalam, Neil;Chanana, Raaghav;Deo, Ajinkya;Gadekar, Jayant;Jeetendra (I);Jora, Priyanshu;Kadam, Kishore;Kanwarpal, Bikramjeet;Kapoor, Anil (IV);Kapoor, Rishi (I);Kaul, Rajat;Khan, Nissar;Khanna, Adish;Khanna, Rahul (I);Kher, Anupam;Pradhan, Shahnawaz;Saini, Gurpreet;Siddhartha, Rajeev;Singh, Rahul (I);Srinivas, Kiran (I);Subramaniam, Shivkumar;Suri, Yuri;Ved, Sundip;Vikal, Ankur
2006	8.8	Comedy	"3 Minute Wonder"	Abe, Tadashi (II);Ayrton, Henry;Bolle, Roberto;Bouchier, John;Bylett, Chris;Coleman, Henry (I);Culshaw, Jon;David, Enrico;Dumas, Paul (II);Faulks, Sebastian;Fletcher, Jacob;Fordesman, Ben;Frazer, Rupert;Gennis, Daniel Jude;Halil, Erkan;Harlan, Jan;Hill, Harry (III);Hiorns, Roger;Hound, Rufus;Jaime, Matt (I);Kaye, Tony (I);Khorooshi, Farokh;King, Joan (III);King, Neville (I);Larder, Kevin;Mason, Tom (VII);McIntyre, Michael (II);Palmer, Davies;Pilkington, Karl;Rao, Anil (I);Reedy, Tim;Saito, Koryo;Spikey, Dave;Thomson, John (I);Warwick, Kevin;Way, Ben;Wohead, Greg;Wright, Richard (XXIX);Wrigley, Bernard
2006	8.6	Drama	"3 lbs."	Arciniega, Max;Behlmann, John;Braun, Steve (II);Brown, David (II);Brown, David (XXX);Bruening, Justin;Bury, Karl;Carlos, Jordan;Changchien, Louis Ozawa;Charan, Jay;Colletti, Bob;Dos Santos, Marivaldo;Dunne, Griffin;Eisenberg, Ned (I);Farmer, Cyrus;Feuerstein, Mark (I);Funk, Joshua (I);Funny, Dennis Jay;Gavriel, Bashir;Gilpin, Jack;Gwiazdowski, Jerzy;Hammer, Mark (I);Jefferies, Marc John;Kalidi, Sam;Levine, Joshua (I);McCaffrey, James (I);McDermott, Dylan;McMillon, Derrick L.;Nakahara, Ron;O'Neill, Michael (I);Offerman, Nick (I);Perez-Campbell, Joaquin;Redleaf, Jeremy;Riesco, Armando;Smaltz, Mark Kenneth;Stein, Adam (I);Stephenson, Don;Sullivan, Tyson;Thomas, Carlos (I);Tucci, Stanley (I);Veach, Joel (I);Walker, Benjamin (I);Weir, Malachi;Wharton, Ken
2008	8.9	Comedy	"3Way"	Bishop, Collin;Carlin, Shaun (II);Garant, Robert Ben;Gotay, Will;Guinness, Mr.;Hendrix, Joe (I);Holroyd, Scott;Keating, John M.;Kreinbrink, Justin;Moran, Rob (I);Soldwisch, Jonathan;Wilderson, Wayne;Wright, G. Charles
2012	9.0	Comedy	"4Funnies"	Burgers, Phil;Cardinal, Seb;Chambers, Dave (IV);Earl, David (VI);Evans, Roger (II);Hayward, Chris (III);Li, Dan (II);McCarthy, Matthew David;McGlynn, Bob;Quinn, Bryan (IV)
